reviews/content,reviews/rating,reviews/date,product_title
"Absolutely love this serum! My skin has never looked better. The texture is so lightweight and it absorbs instantly. Will definitely repurchase.",5,2024-01-03,Vitamin C Brightening Serum
"I've been using this moisturizer for two weeks and already seeing a difference in my skin texture. Highly recommend for dry skin types.",5,2024-01-05,Daily Hydration Moisturizer
"Good product but takes a while to see results. I've been using it for about a month and just starting to notice minor improvements.",3,2024-01-07,Retinol Night Cream
"This eye cream is incredible. Dark circles are visibly reduced after just one week. A little goes a long way so the bottle lasts forever.",5,2024-01-09,Brightening Eye Cream
"Not impressed. The product broke me out after the first use. Returned it immediately. Very disappointing for the price.",1,2024-01-11,Vitamin C Brightening Serum
"Shipping was super fast and the packaging is beautiful. The cleanser itself is gentle and leaves my skin feeling clean without that tight dry feeling.",5,2024-01-13,Gentle Foaming Cleanser
"I have sensitive skin and was nervous to try this but it worked perfectly. No irritation at all and my skin looks so much more radiant.",5,2024-01-15,Daily Hydration Moisturizer
"Smells amazing and feels luxurious. Not sure if it's actually doing anything for my wrinkles yet but I enjoy using it every night.",3,2024-01-17,Retinol Night Cream
"The SPF moisturizer is a game changer for my morning routine. Lightweight, no white cast, and keeps my skin hydrated all day.",5,2024-01-19,SPF 50 Daily Moisturizer
"Terrible experience. Product arrived leaking and customer service took forever to respond. Will not be ordering again.",1,2024-01-21,Brightening Eye Cream
"This toner has completely changed my skin. Pores look smaller and my skin feels so balanced. Worth every penny.",5,2024-01-23,Balancing Toner
"Pretty average. Does what it says but nothing special. I've used better products for less money.",3,2024-01-25,Gentle Foaming Cleanser
"I bought this as a gift and the recipient absolutely loved it. Great packaging, smells wonderful, and really works.",5,2024-01-27,Vitamin C Brightening Serum
"The retinol cream is too strong for my skin even at the lowest setting. Caused a lot of peeling and redness in the first two weeks.",2,2024-01-29,Retinol Night Cream
"Been using this SPF for six months now and won't go back to anything else. No breakouts, no greasiness, just great protection.",5,2024-01-31,SPF 50 Daily Moisturizer
"Finally a cleanser that doesn't strip my skin. My face feels clean and soft every morning. Repurchased three times already.",5,2024-02-02,Gentle Foaming Cleanser
"The serum oxidized really quickly and turned orange in the bottle. Expected better quality control for this price point.",2,2024-02-04,Vitamin C Brightening Serum
"Decent moisturizer but nothing life-changing. Hydrates well and the scent is subtle. Would buy again if on sale.",3,2024-02-06,Daily Hydration Moisturizer
"I'm obsessed with this eye cream. My coworkers keep asking what I'm doing differently. The results speak for themselves.",5,2024-02-08,Brightening Eye Cream
"Way too expensive for what you get. The bottle is tiny and runs out in about three weeks. Not worth it.",2,2024-02-10,Balancing Toner
"This is my third bottle of the toner. Keeps my combination skin perfectly balanced and my pores look so much smaller.",5,2024-02-12,Balancing Toner
"Good moisturizer overall. Absorbs well and doesn't pill under makeup. Wish it had SPF built in though.",4,2024-02-14,Daily Hydration Moisturizer
"The vitamin C serum stings a little when I first apply it but my skin looks brighter and more even after a few weeks.",4,2024-02-16,Vitamin C Brightening Serum
"I've tried every eye cream on the market and this one is by far the best. The applicator tip is genius and so hygienic.",5,2024-02-18,Brightening Eye Cream
"Broke out in hives after one use. I checked the ingredients and suspect it was the fragrance. Really disappointed.",1,2024-02-20,Daily Hydration Moisturizer
"The retinol has smoothed out my fine lines noticeably. I started with every three days and worked up to nightly. Patience pays off.",5,2024-02-22,Retinol Night Cream
"Good SPF that doesn't feel heavy. Blends well with my foundation. Only giving four stars because the pump broke after two months.",4,2024-02-24,SPF 50 Daily Moisturizer
"Love the cleanser but wish it came in a bigger size. The travel size runs out too quickly for daily use.",4,2024-02-26,Gentle Foaming Cleanser
"The toner smells incredible and leaves my skin feeling refreshed. I use it morning and night and my skin has never looked better.",5,2024-02-28,Balancing Toner
"Arrived damaged and the seal was broken. Reached out to customer service and they sent a replacement within two days which I appreciated.",3,2024-03-01,Vitamin C Brightening Serum
"This moisturizer is perfect for winter. My skin was so dry and flaky and this fixed everything within a week.",5,2024-03-03,Daily Hydration Moisturizer
"Good ingredients but the consistency is too thick for my oily skin. Would probably work great for dry skin types.",3,2024-03-05,Retinol Night Cream
"I was skeptical about the eye cream claims but the before and after photos on my phone don't lie. Genuinely impressive results.",5,2024-03-07,Brightening Eye Cream
"The SPF breaks me out unfortunately. Probably the zinc oxide. Love the brand otherwise and will try their other products.",2,2024-03-09,SPF 50 Daily Moisturizer
"Repurchasing for the fourth time. This cleanser is a staple in my routine and I recommend it to everyone.",5,2024-03-11,Gentle Foaming Cleanser
"The toner burned my skin on first use. Might be the AHAs. I have sensitive skin so probably not the right product for me.",2,2024-03-13,Balancing Toner
"Subtle results but consistent. After two months of using the serum my hyperpigmentation has faded significantly.",4,2024-03-15,Vitamin C Brightening Serum
"Great moisturizer, great price. Does exactly what it promises and the packaging is eco-friendly which I love.",5,2024-03-17,Daily Hydration Moisturizer
"I bought the retinol on recommendation from my dermatologist and she was right. My skin texture has completely transformed.",5,2024-03-19,Retinol Night Cream
"Fast shipping, beautiful unboxing experience, and the eye cream actually works. Really happy with this purchase.",5,2024-03-21,Brightening Eye Cream
"The SPF moisturizer is good but leaves a slight white cast on my deeper skin tone. Wish the formula was more inclusive.",3,2024-03-23,SPF 50 Daily Moisturizer
"Perfect cleanser for my acne-prone skin. Doesn't clog pores and keeps breakouts at bay without over-drying.",5,2024-03-25,Gentle Foaming Cleanser
"The toner is great but I wish it came with a dropper instead of just a cap. Hard to control how much product comes out.",4,2024-03-27,Balancing Toner
"Not suitable for sensitive skin despite what the label says. Caused significant redness and irritation for me.",1,2024-03-29,Daily Hydration Moisturizer
"The vitamin C serum gave me the most even skin tone I've ever had. People keep asking if I've had work done.",5,2024-03-31,Vitamin C Brightening Serum
"Retinol is working slowly but surely. I'm three months in and my crow's feet are noticeably softer. Worth the patience.",4,2024-04-02,Retinol Night Cream
"I've gifted this eye cream to my mom and sister. We're all obsessed. It's a staple in our family now.",5,2024-04-04,Brightening Eye Cream
"The SPF smells incredible and works great under makeup. Finally found my holy grail morning moisturizer.",5,2024-04-06,SPF 50 Daily Moisturizer
"Cleanser lathers beautifully and rinses clean. My skin feels balanced and fresh every single morning.",5,2024-04-08,Gentle Foaming Cleanser
"Decent toner but I've had better. The price is a little high for what you get compared to similar products.",3,2024-04-10,Balancing Toner
